,date,Account,classification,Closed PnL
0,2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,0.0
1,2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,0.0
2,2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,155.50335699999994
3,2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,-5564.01614
4,2024-03-09,0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,0.0
5,2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,-7919.471032000002
6,2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,187842.08419
7,2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,2606.8947559999997
8,2024-07-03,0x271b280974205ca63b716753467d5a371de622ab,Neutral,-1.0
9,2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,215.754798
10,2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,145563.448374
11,2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,-25991.506339
12,2024-07-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,0.16271999999999998
13,2024-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,-9125.157325
14,2024-07-03,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,-14505.50575
15,2024-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,62586.1816
16,2024-10-27,0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,-327505.900056
17,2024-10-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,20607.446093000002
18,2024-10-27,0x271b280974205ca63b716753467d5a371de622ab,Greed,1793.1602149999999
19,2024-10-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,121880.386016
20,2024-10-27,0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,52215.729448
21,2024-10-27,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,36993.371011
22,2024-10-27,0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,34983.381862
23,2024-10-27,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,7612.618288
24,2024-10-27,0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,16102.56859
25,2024-10-27,0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,160450.518105
26,2024-10-27,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,69282.42904
27,2024-10-27,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,61076.167808
28,2024-10-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,111230.498007
29,2024-10-27,0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,0.0
30,2024-10-27,0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,101539.274031
31,2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,327545.999992
32,2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,51737.579418
33,2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,37526.331877
34,2024-10-27,0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,0.0
35,2024-10-27,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,11.717676000000012
36,2024-10-27,0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,39978.37791
37,2024-10-27,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,8695.357326
38,2024-10-27,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,49180.714882
39,2024-10-27,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,67900.247545
40,2024-10-27,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,20925.513222
41,2024-10-27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,55.01524
42,2024-10-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1421755.845871
43,2024-10-27,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,11671.68
44,2024-10-27,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,684215.002602
45,2025-02-19,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1927735.720035
46,2025-02-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,17098.727055
47,2025-02-19,0x271b280974205ca63b716753467d5a371de622ab,Fear,29970.928216
48,2025-02-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,10435.095669
49,2025-02-19,0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,116412.254606
50,2025-02-19,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-59349.677108
51,2025-02-19,0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,-20526.462526
52,2025-02-19,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,45883.628955
53,2025-02-19,0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,183403.024142
54,2025-02-19,0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,110527.905862
55,2025-02-19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,32683.214094
56,2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,613327.827224
57,2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,223968.37089299998
58,2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,403501.648209
59,2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,6979.340871
60,2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,98269.195073
61,2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,341945.434741
62,2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,136208.043913
63,2025-02-19,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,14781.443047
64,2025-02-19,0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,196303.792847
65,2025-02-19,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,64510.169958
66,2025-02-19,0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,46257.358187
67,2025-02-19,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,100502.420808
68,2025-02-19,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,40314.808014
69,2025-02-19,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,19451.742477
70,2025-02-19,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,8751.751449
71,2025-02-19,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,21703.816512999998
